Date,Price,Open,High,Low,Vol.,Change %
11-Mar-20,306.44,315.47,315.48,302.12,137.32M,-5.10%
12-Mar-20,275.2,299.11,299.11,273.43,165.86M,-10.19%
13-Mar-20,290.48,282.48,290.48,270.06,148.32M,5.55%
16-Mar-20,256.95,276.22,284.17,256.04,151.45M,-11.54%
17-Mar-20,290.64,260.99,292.65,260.99,168.93M,13.11%
18-Mar-20,277.16,285.09,285.09,262.88,148.28M,-4.64%
19-Mar-20,262,276.62,276.62,260.64,124.73M,-5.47%
20-Mar-20,240.57,262.69,262.69,239.16,176.49M,-8.18%
23-Mar-20,227.75,236.84,237.57,220.86,147.98M,-5.33%
24-Mar-20,252.66,236.46,253.89,235.43,125.67M,10.94%
25-Mar-20,259.84,251.37,270.15,245.89,124.34M,2.84%
26-Mar-20,281.63,260.08,284.57,259.97,108.49M,8.39%
27-Mar-20,283.1,272.34,293.19,272.08,103.39M,0.52%
30-Mar-20,293.57,287.45,295.1,284.37,109.13M,3.70%
31-Mar-20,281.77,290.38,290.47,280.81,127.52M,-4.02%
1-Apr-20,264.53,270.23,274.12,259.54,103.87M,-6.12%
2-Apr-20,272.85,260.73,274.7,260.73,107.91M,3.15%
3-Apr-20,262.97,269.57,273.03,261.12,109.43M,-3.62%
6-Apr-20,283.61,272.87,286.23,272.57,94.56M,7.85%
7-Apr-20,280.17,291.36,291.44,279.65,99.75M,-1.21%
8-Apr-20,295.33,281.77,297.54,279.32,86.89M,5.41%
9-Apr-20,309.35,298.47,313.95,298.47,113.01M,4.75%
13-Apr-20,299.19,306.28,307.15,296.37,64.26M,-3.28%
14-Apr-20,308.09,305.87,308.54,302.98,74.46M,2.97%
15-Apr-20,297.74,301.95,302.87,296.34,79.77M,-3.36%
16-Apr-20,297.96,299.68,300.65,295.16,80.73M,0.07%
17-Apr-20,307.83,303.92,309.22,300.26,73.70M,3.31%
20-Apr-20,295.87,305,305,295.58,71.94M,-3.89%
21-Apr-20,291.12,291.08,294.59,287.88,78.42M,-1.61%
22-Apr-20,299.7,296.02,301.58,294.64,65.87M,2.95%
23-Apr-20,294.42,299.87,301.34,293.03,67.87M,-1.76%
24-Apr-20,296.27,294.7,297.59,291.31,70.48M,0.63%
27-Apr-20,299.5,298.29,301.63,297.87,64.68M,1.09%
28-Apr-20,300.56,303.86,306.89,299.28,70.82M,0.35%
29-Apr-20,297.8,305.28,305.28,296.55,74.78M,-0.92%
