Date,Price,Open,High,Low,Vol.,Change %
30-Dec-19,"1,184.66","1,192.63","1,194.80","1,183.44",92.47M,-0.66%
31-Dec-19,"1,188.20","1,183.78","1,188.56","1,180.51",107.82M,0.30%
2-Jan-20,"1,190.45","1,190.89","1,191.18","1,181.81",141.43M,0.19%
3-Jan-20,"1,180.33","1,178.35","1,186.62","1,173.23",129.62M,-0.85%
6-Jan-20,"1,187.27","1,176.88","1,187.54","1,175.34",145.36M,0.59%
7-Jan-20,"1,184.41","1,184.56","1,185.90","1,178.59",154.61M,-0.24%
8-Jan-20,"1,192.03","1,185.38","1,197.80","1,184.71",171.13M,0.64%
9-Jan-20,"1,197.64","1,194.14","1,200.93","1,193.97",160.16M,0.47%
10-Jan-20,"1,198.13","1,201.40","1,204.15","1,196.19",136.97M,0.04%
13-Jan-20,"1,193.90","1,198.14","1,198.72","1,189.82",168.88M,-0.35%
14-Jan-20,"1,200.43","1,189.92","1,200.59","1,187.92",218.99M,0.55%
15-Jan-20,"1,210.62","1,201.23","1,213.83","1,201.23",173.47M,0.85%
16-Jan-20,"1,216.96","1,214.87","1,217.77","1,211.06",148.55M,0.52%
17-Jan-20,"1,217.69","1,218.04","1,218.98","1,214.59",191.96M,0.06%
21-Jan-20,"1,218.20","1,215.49","1,220.99","1,214.10",191.81M,0.04%
22-Jan-20,"1,219.64","1,219.24","1,223.74","1,218.10",162.77M,0.12%
23-Jan-20,"1,213.60","1,217.65","1,218.28","1,205.42",192.34M,-0.50%
24-Jan-20,"1,193.25","1,214.67","1,214.97","1,190.33",211.28M,-1.68%
27-Jan-20,"1,184.21","1,184.04","1,188.65","1,179.11",200.24M,-0.76%
28-Jan-20,"1,189.86","1,186.08","1,194.69","1,184.35",210.46M,0.48%
29-Jan-20,"1,186.54","1,192.02","1,195.07","1,186.44",166.19M,-0.28%
30-Jan-20,"1,177.34","1,179.38","1,179.38","1,167.34",199.62M,-0.78%
31-Jan-20,"1,153.96","1,172.33","1,173.20","1,150.37",228.46M,-1.99%
3-Feb-20,"1,164.64","1,161.11","1,172.63","1,161.11",207.90M,0.93%
4-Feb-20,"1,184.41","1,173.52","1,189.56","1,173.52",190.64M,1.70%
