Date,Price,Open,High,Low,Vol.,Change %
16-Jul-18,"1,271.30","1,275.70","1,278.00","1,268.90",-,-0.35%
17-Jul-18,"1,281.60","1,271.30","1,284.10","1,261.70",-,0.81%
18-Jul-18,"1,280.10","1,281.60","1,281.90","1,275.20",-,-0.11%
19-Jul-18,"1,275.80","1,280.10","1,282.40","1,273.60",-,-0.33%
20-Jul-18,"1,277.00","1,275.80","1,284.40","1,275.30",-,0.09%
23-Jul-18,"1,283.60","1,277.00","1,284.50","1,269.00",-,0.52%
24-Jul-18,"1,290.00","1,283.60","1,302.50","1,283.60",-,0.50%
25-Jul-18,"1,309.40","1,290.00","1,309.60","1,290.00",-,1.50%
26-Jul-18,"1,287.90","1,309.40","1,309.40","1,282.90",-,-1.64%
27-Jul-18,"1,262.30","1,287.90","1,289.60","1,254.60",-,-1.99%
30-Jul-18,"1,239.80","1,262.30","1,262.30","1,231.70",-,-1.78%
31-Jul-18,"1,243.40","1,239.80","1,251.80","1,235.70",-,0.30%
1-Aug-18,"1,255.50","1,243.40","1,260.10","1,243.40",-,0.97%
2-Aug-18,"1,272.70","1,255.50","1,274.30","1,244.20",-,1.37%
3-Aug-18,"1,277.10","1,272.70","1,277.10","1,266.70",-,0.34%
6-Aug-18,"1,284.60","1,277.10","1,284.70","1,273.30",-,0.59%
7-Aug-18,"1,288.80","1,284.60","1,294.60","1,284.60",-,0.33%
8-Aug-18,"1,292.50","1,288.80","1,295.10","1,284.50",-,0.28%
9-Aug-18,"1,291.80","1,292.50","1,297.50","1,291.10",-,-0.05%
10-Aug-18,"1,281.30","1,291.80","1,291.80","1,277.10",-,-0.81%
13-Aug-18,"1,279.40","1,281.30","1,293.30","1,278.80",-,-0.15%
14-Aug-18,"1,287.30","1,279.40","1,288.80","1,275.90",-,0.62%
15-Aug-18,"1,273.60","1,287.30","1,287.30","1,263.30",-,-1.07%
16-Aug-18,"1,276.80","1,273.60","1,285.50","1,273.60",-,0.25%
17-Aug-18,"1,279.20","1,276.80","1,282.10","1,268.10",-,0.18%
20-Aug-18,"1,277.20","1,279.20","1,282.10","1,271.10",-,-0.15%
21-Aug-18,"1,278.10","1,277.20","1,286.80","1,277.10",-,0.07%
22-Aug-18,"1,284.30","1,278.10","1,286.60","1,273.70",-,0.48%
23-Aug-18,"1,286.60","1,284.30","1,294.40","1,283.30",-,0.18%
24-Aug-18,"1,300.80","1,286.60","1,301.30","1,286.60",-,1.10%
27-Aug-18,"1,313.30","1,300.80","1,313.90","1,300.80",-,0.96%
28-Aug-18,"1,316.10","1,313.30","1,319.10","1,312.50",-,0.21%
29-Aug-18,"1,329.50","1,316.10","1,330.10","1,316.10",-,1.01%
30-Aug-18,"1,325.60","1,329.50","1,334.90","1,321.90",-,-0.29%
31-Aug-18,"1,327.20","1,325.60","1,330.80","1,322.90",-,0.12%
4-Sep-18,"1,323.20","1,327.20","1,327.20","1,313.30",-,-0.30%
5-Sep-18,"1,303.40","1,323.20","1,323.20","1,297.20",-,-1.50%
6-Sep-18,"1,292.80","1,303.40","1,304.40","1,283.20",-,-0.81%
7-Sep-18,"1,288.30","1,292.80","1,299.80","1,283.00",-,-0.34%
10-Sep-18,"1,292.40","1,288.30","1,294.80","1,285.20",-,0.32%
11-Sep-18,"1,303.20","1,292.40","1,306.30","1,285.00",-,0.84%
12-Sep-18,"1,296.80","1,303.20","1,303.20","1,285.20",-,-0.50%
13-Sep-18,"1,311.60","1,296.80","1,316.00","1,296.80",-,1.15%
14-Sep-18,"1,311.90","1,311.60","1,318.10","1,305.60",-,0.02%
17-Sep-18,"1,293.70","1,311.90","1,312.20","1,292.30",-,-1.39%
18-Sep-18,"1,301.70","1,293.70","1,309.00","1,292.30",-,0.62%
19-Sep-18,"1,300.40","1,301.70","1,306.60","1,291.50",-,-0.10%
20-Sep-18,"1,315.70","1,300.40","1,317.90","1,300.40",-,1.18%
21-Sep-18,"1,311.20","1,315.70","1,322.30","1,309.30",-,-0.34%
24-Sep-18,"1,315.30","1,311.20","1,316.40","1,298.70",-,0.31%
25-Sep-18,"1,314.70","1,315.30","1,317.60","1,309.70",-,-0.04%
26-Sep-18,"1,309.40","1,314.70","1,321.90","1,307.90",-,-0.41%
27-Sep-18,"1,316.40","1,309.40","1,321.10","1,309.40",-,0.54%
28-Sep-18,"1,322.10","1,316.40","1,323.70","1,313.90",-,0.43%
1-Oct-18,"1,328.60","1,322.10","1,334.20","1,322.10",-,0.49%
2-Oct-18,"1,328.40","1,328.60","1,336.40","1,323.40",-,-0.01%
3-Oct-18,"1,332.90","1,328.40","1,338.90","1,328.40",-,0.34%
4-Oct-18,"1,309.10","1,332.90","1,332.90","1,300.20",-,-1.78%
5-Oct-18,"1,292.50","1,309.10","1,311.80","1,279.60",-,-1.27%
8-Oct-18,"1,277.30","1,292.50","1,292.50","1,263.00",-,-1.18%
9-Oct-18,"1,281.80","1,277.30","1,289.30","1,274.50",-,0.35%
10-Oct-18,"1,220.60","1,281.80","1,281.80","1,219.30",-,-4.77%
11-Oct-18,"1,205.10","1,220.60","1,237.00","1,194.80",-,-1.27%
12-Oct-18,"1,243.10","1,205.10","1,247.00","1,205.10",-,3.15%
15-Oct-18,"1,222.80","1,243.10","1,243.10","1,222.30",-,-1.64%
16-Oct-18,"1,259.70","1,222.80","1,262.40","1,222.80",-,3.02%
17-Oct-18,"1,253.80","1,259.70","1,261.00","1,242.30",-,-0.47%
18-Oct-18,"1,228.50","1,253.80","1,253.80","1,221.70",-,-2.02%
19-Oct-18,"1,228.60","1,228.50","1,249.20","1,223.80",-,0.01%
22-Oct-18,"1,238.60","1,228.60","1,246.20","1,226.90",-,0.81%
23-Oct-18,"1,233.60","1,238.60","1,240.20","1,200.60",-,-0.40%
24-Oct-18,"1,179.00","1,233.60","1,233.60","1,177.20",-,-4.43%
25-Oct-18,"1,218.10","1,179.00","1,225.20","1,179.00",-,3.32%
26-Oct-18,"1,195.30","1,218.10","1,218.10","1,177.70",-,-1.87%
29-Oct-18,"1,173.70","1,195.30","1,219.60","1,150.90",-,-1.81%
30-Oct-18,"1,187.30","1,173.70","1,191.10","1,163.30",-,1.16%
31-Oct-18,"1,215.70","1,187.30","1,225.30","1,187.30",-,2.39%
1-Nov-18,"1,230.30","1,215.70","1,230.70","1,207.10",-,1.20%
2-Nov-18,"1,207.00","1,230.30","1,230.30","1,195.90",-,-1.89%
5-Nov-18,"1,204.80","1,207.00","1,207.00","1,187.30",-,-0.18%
6-Nov-18,"1,212.20","1,204.80","1,217.40","1,202.30",-,0.61%
7-Nov-18,"1,247.10","1,212.20","1,247.20","1,212.20",-,2.87%
8-Nov-18,"1,244.60","1,247.10","1,247.10","1,237.60",-,-0.20%
9-Nov-18,"1,223.90","1,244.60","1,244.60","1,213.40",-,-1.66%
12-Nov-18,"1,180.60","1,223.90","1,223.90","1,179.10",-,-3.54%
13-Nov-18,"1,181.70","1,180.60","1,202.00","1,178.60",-,0.09%
14-Nov-18,"1,166.40","1,181.70","1,196.10","1,160.60",-,-1.29%
15-Nov-18,"1,195.10","1,166.40","1,198.40","1,161.80",-,2.46%
16-Nov-18,"1,193.80","1,195.10","1,200.70","1,179.20",-,-0.11%
19-Nov-18,"1,148.60","1,193.80","1,193.80","1,145.10",-,-3.79%
20-Nov-18,"1,124.00","1,148.60","1,148.60","1,109.00",-,-2.14%
21-Nov-18,"1,131.00","1,124.00","1,142.90","1,124.00",-,0.62%
23-Nov-18,"1,121.20","1,131.00","1,133.60","1,119.20",-,-0.87%
26-Nov-18,"1,146.40","1,121.20","1,146.60","1,121.20",-,2.25%
27-Nov-18,"1,149.20","1,146.40","1,150.70","1,132.40",-,0.24%
28-Nov-18,"1,188.70","1,149.20","1,188.90","1,149.20",-,3.44%
29-Nov-18,"1,177.40","1,188.70","1,188.70","1,171.50",-,-0.95%
30-Nov-18,"1,189.90","1,177.40","1,189.90","1,172.70",-,1.06%
3-Dec-18,"1,215.00","1,189.90","1,219.00","1,189.90",-,2.11%
4-Dec-18,"1,168.20","1,215.00","1,215.00","1,166.30",-,-3.86%
6-Dec-18,"1,170.90","1,168.20","1,170.90","1,135.60",-,0.23%
7-Dec-18,"1,129.60","1,170.90","1,171.00","1,124.90",-,-3.53%
10-Dec-18,"1,145.80","1,129.60","1,149.90","1,117.80",-,1.43%
11-Dec-18,"1,146.80","1,145.80","1,164.90","1,137.90",-,0.09%
12-Dec-18,"1,155.80","1,146.80","1,174.10","1,146.80",-,0.79%
13-Dec-18,"1,158.10","1,155.80","1,169.70","1,151.30",-,0.19%
14-Dec-18,"1,129.30","1,158.10","1,158.10","1,128.30",-,-2.48%
17-Dec-18,"1,104.30","1,129.30","1,132.70","1,096.50",-,-2.21%
18-Dec-18,"1,113.90","1,104.30","1,123.20","1,104.30",-,0.86%
19-Dec-18,"1,092.30","1,113.90","1,130.40","1,080.00",-,-1.94%
20-Dec-18,"1,071.70","1,092.30","1,097.80","1,056.80",-,-1.88%
21-Dec-18,"1,039.70","1,071.70","1,084.70","1,035.00",-,-2.99%
24-Dec-18,"1,011.30","1,039.70","1,041.90","1,011.00",-,-2.73%
26-Dec-18,"1,072.50","1,011.30","1,072.70","1,011.30",-,6.05%
27-Dec-18,"1,080.80","1,072.50","1,081.30","1,037.50",-,0.77%
28-Dec-18,"1,078.10","1,080.80","1,095.90","1,069.00",-,-0.25%
31-Dec-18,"1,088.30","1,078.10","1,092.00","1,078.10",-,0.95%
2-Jan-19,"1,089.00","1,088.30","1,095.30","1,066.80",-,0.07%
3-Jan-19,"1,033.80","1,089.00","1,089.00","1,032.40",-,-5.07%
4-Jan-19,"1,079.30","1,033.80","1,083.80","1,033.80",-,4.40%
7-Jan-19,"1,088.60","1,079.30","1,096.50","1,077.10",-,0.86%
8-Jan-19,"1,098.30","1,088.60","1,103.20","1,085.20",-,0.90%
9-Jan-19,"1,111.90","1,098.30","1,118.00","1,098.30",-,1.24%
10-Jan-19,"1,117.10","1,111.90","1,117.70","1,098.70",-,0.46%
11-Jan-19,"1,115.50","1,117.10","1,117.10","1,108.50",-,-0.14%
14-Jan-19,"1,105.30","1,115.50","1,115.50","1,101.10",-,-0.92%
15-Jan-19,"1,121.70","1,105.30","1,123.60","1,105.30",-,1.48%
16-Jan-19,"1,122.20","1,121.70","1,129.20","1,120.60",-,0.05%
17-Jan-19,"1,129.70","1,122.20","1,136.10","1,116.00",-,0.67%
18-Jan-19,"1,146.60","1,129.70","1,149.20","1,129.70",-,1.49%
22-Jan-19,"1,126.30","1,146.60","1,146.60","1,118.80",-,-1.76%
23-Jan-19,"1,131.00","1,126.30","1,140.50","1,118.80",-,0.41%
24-Jan-19,"1,141.50","1,131.00","1,144.80","1,131.00",-,0.93%
25-Jan-19,"1,158.00","1,141.50","1,160.50","1,141.50",-,1.45%
28-Jan-19,"1,141.80","1,158.00","1,158.00","1,132.30",-,-1.40%
29-Jan-19,"1,130.30","1,141.80","1,144.00","1,127.90",-,-1.01%
30-Jan-19,"1,164.50","1,130.30","1,167.60","1,130.30",-,3.03%
31-Jan-19,"1,163.20","1,164.50","1,169.30","1,155.00",-,-0.12%
1-Feb-19,"1,170.20","1,163.20","1,176.20","1,162.90",-,0.61%
4-Feb-19,"1,188.90","1,170.20","1,189.10","1,170.20",-,1.60%
5-Feb-19,"1,199.40","1,188.90","1,201.60","1,188.90",-,0.88%
6-Feb-19,"1,202.30","1,199.40","1,205.70","1,195.30",-,0.24%
7-Feb-19,"1,185.00","1,202.30","1,202.30","1,177.60",-,-1.44%
8-Feb-19,"1,190.80","1,185.00","1,191.20","1,175.00",-,0.49%
11-Feb-19,"1,190.90","1,190.80","1,198.90","1,188.40",-,0.00%
12-Feb-19,"1,207.10","1,190.90","1,208.30","1,190.90",-,1.36%
13-Feb-19,"1,208.80","1,207.10","1,217.00","1,207.10",-,0.14%
14-Feb-19,"1,210.30","1,208.80","1,214.50","1,203.10",-,0.12%
15-Feb-19,"1,219.90","1,210.30","1,221.00","1,210.30",-,0.79%
19-Feb-19,"1,220.10","1,219.90","1,224.00","1,215.60",-,0.02%
20-Feb-19,"1,220.60","1,220.10","1,225.80","1,214.60",-,0.04%
21-Feb-19,"1,221.20","1,220.60","1,226.10","1,213.80",-,0.05%
22-Feb-19,"1,236.90","1,221.20","1,237.50","1,221.20",-,1.29%
25-Feb-19,"1,243.00","1,236.90","1,251.50","1,236.90",-,0.49%
26-Feb-19,"1,245.40","1,243.00","1,249.00","1,238.90",-,0.20%
27-Feb-19,"1,244.20","1,245.40","1,245.60","1,231.60",-,-0.10%
28-Feb-19,"1,240.20","1,244.20","1,245.20","1,237.50",-,-0.32%
1-Mar-19,"1,249.00","1,240.20","1,252.20","1,239.20",-,0.71%
4-Mar-19,"1,244.20","1,249.00","1,257.30","1,230.80",-,-0.39%
5-Mar-19,"1,240.60","1,244.20","1,244.20","1,236.80",-,-0.29%
6-Mar-19,"1,233.80","1,240.60","1,240.90","1,232.40",-,-0.55%
7-Mar-19,"1,222.40","1,233.80","1,233.80","1,218.20",-,-0.92%
8-Mar-19,"1,222.10","1,222.40","1,222.90","1,205.70",-,-0.03%
11-Mar-19,"1,248.60","1,222.10","1,249.40","1,222.10",-,2.17%
12-Mar-19,"1,255.10","1,248.60","1,259.80","1,248.10",-,0.52%
13-Mar-19,"1,263.70","1,255.10","1,271.30","1,255.10",-,0.69%
14-Mar-19,"1,266.20","1,263.70","1,270.10","1,262.80",-,0.20%
15-Mar-19,"1,281.60","1,266.20","1,287.30","1,266.20",-,1.22%
18-Mar-19,"1,286.90","1,281.60","1,290.40","1,279.20",-,0.41%
19-Mar-19,"1,289.40","1,286.90","1,295.80","1,284.80",-,0.20%
20-Mar-19,"1,285.90","1,289.40","1,296.40","1,278.40",-,-0.28%
21-Mar-19,"1,317.70","1,285.90","1,321.10","1,285.90",-,2.47%
22-Mar-19,"1,286.80","1,317.70","1,317.70","1,286.70",-,-2.35%
25-Mar-19,"1,281.70","1,286.80","1,290.00","1,273.50",-,-0.40%
26-Mar-19,"1,288.80","1,281.70","1,300.90","1,281.50",-,0.56%
27-Mar-19,"1,281.80","1,288.80","1,295.20","1,270.10",-,-0.55%
28-Mar-19,"1,286.60","1,281.80","1,291.70","1,278.70",-,0.38%
29-Mar-19,"1,299.20","1,286.60","1,299.40","1,286.60",-,0.98%
1-Apr-19,"1,317.40","1,299.20","1,318.30","1,299.20",-,1.40%
2-Apr-19,"1,321.40","1,317.40","1,323.20","1,314.00",-,0.30%
3-Apr-19,"1,332.40","1,321.40","1,338.80","1,321.40",-,0.83%
4-Apr-19,"1,326.60","1,332.40","1,334.60","1,318.30",-,-0.44%
5-Apr-19,"1,332.20","1,326.60","1,333.50","1,326.60",-,0.43%
8-Apr-19,"1,337.60","1,332.20","1,337.80","1,323.70",-,0.41%
9-Apr-19,"1,330.60","1,337.60","1,337.60","1,328.30",-,-0.52%
10-Apr-19,"1,340.00","1,330.60","1,340.30","1,330.60",-,0.70%
11-Apr-19,"1,338.30","1,340.00","1,342.50","1,335.70",-,-0.12%
12-Apr-19,"1,347.60","1,338.30","1,347.70","1,338.30",-,0.69%
15-Apr-19,"1,347.10","1,347.60","1,350.80","1,340.10",-,-0.04%
16-Apr-19,"1,353.70","1,347.10","1,355.40","1,347.10",-,0.49%
17-Apr-19,"1,361.50","1,353.70","1,363.20","1,353.70",-,0.58%
18-Apr-19,"1,365.40","1,361.50","1,365.70","1,355.40",-,0.28%
22-Apr-19,"1,368.50","1,365.40","1,369.00","1,358.10",-,0.23%
23-Apr-19,"1,383.90","1,368.50","1,385.10","1,368.50",-,1.13%
24-Apr-19,"1,383.80","1,383.90","1,390.40","1,382.20",-,-0.01%
25-Apr-19,"1,383.80","1,383.80","1,394.40","1,376.70",-,0.00%
26-Apr-19,"1,378.90","1,383.80","1,383.80","1,364.20",-,-0.35%
29-Apr-19,"1,378.80","1,378.90","1,383.10","1,377.30",-,-0.01%
30-Apr-19,"1,381.80","1,378.80","1,383.00","1,370.70",-,0.21%
1-May-19,"1,378.00","1,381.80","1,398.50","1,377.90",-,-0.27%
2-May-19,"1,370.60","1,378.00","1,387.10","1,363.40",-,-0.54%
3-May-19,"1,383.60","1,370.60","1,384.30","1,370.60",-,0.95%
6-May-19,"1,372.30","1,383.60","1,383.60","1,346.10",-,-0.82%
7-May-19,"1,343.20","1,372.30","1,372.30","1,330.60",-,-2.12%
8-May-19,"1,341.00","1,343.20","1,352.20","1,336.10",-,-0.17%
9-May-19,"1,331.80","1,341.00","1,341.00","1,309.20",-,-0.68%
10-May-19,"1,334.20","1,331.80","1,340.80","1,303.30",-,0.18%
13-May-19,"1,284.70","1,334.20","1,334.20","1,280.90",-,-3.71%
14-May-19,"1,305.30","1,284.70","1,313.20","1,284.70",-,1.60%
15-May-19,"1,318.10","1,305.30","1,322.40","1,294.60",-,0.98%
16-May-19,"1,331.10","1,318.10","1,340.00","1,317.70",-,0.99%
17-May-19,"1,320.20","1,331.10","1,337.50","1,318.00",-,-0.82%
20-May-19,"1,297.20","1,320.20","1,320.20","1,290.40",-,-1.75%
21-May-19,"1,312.70","1,297.20","1,316.80","1,297.20",-,1.20%
22-May-19,"1,305.30","1,312.70","1,312.90","1,303.80",-,-0.57%
23-May-19,"1,282.70","1,305.30","1,305.30","1,273.40",-,-1.73%
24-May-19,"1,283.30","1,282.70","1,296.40","1,281.90",-,0.05%
28-May-19,"1,279.10","1,283.30","1,295.40","1,278.60",-,-0.33%
29-May-19,"1,271.40","1,279.10","1,279.10","1,263.40",-,-0.60%
30-May-19,"1,279.10","1,271.40","1,282.00","1,270.90",-,0.60%
31-May-19,"1,258.60","1,279.10","1,279.10","1,257.80",-,-1.60%
3-Jun-19,"1,236.50","1,258.60","1,266.90","1,227.90",-,-1.76%
4-Jun-19,"1,276.80","1,236.50","1,277.30","1,236.50",-,3.26%
5-Jun-19,"1,294.40","1,276.80","1,297.00","1,276.80",-,1.38%
6-Jun-19,"1,308.50","1,294.40","1,311.50","1,291.40",-,1.09%
7-Jun-19,"1,333.70","1,308.50","1,341.20","1,308.50",-,1.93%
10-Jun-19,"1,346.80","1,333.70","1,359.80","1,333.70",-,0.98%
11-Jun-19,"1,347.00","1,346.80","1,361.90","1,339.50",-,0.02%
12-Jun-19,"1,339.30","1,347.00","1,347.00","1,336.40",-,-0.58%
13-Jun-19,"1,342.20","1,339.30","1,347.80","1,338.40",-,0.22%
14-Jun-19,"1,331.10","1,342.20","1,342.20","1,326.00",-,-0.83%
17-Jun-19,"1,333.30","1,331.10","1,339.10","1,329.90",331.96M,0.17%
18-Jun-19,"1,356.20","1,333.30","1,363.40","1,333.30",454.42M,1.72%
19-Jun-19,"1,362.10","1,356.20","1,365.20","1,351.80",382.54M,0.44%
20-Jun-19,"1,381.60","1,362.10","1,386.10","1,362.10",433.02M,1.43%
21-Jun-19,"1,375.30","1,381.60","1,386.80","1,374.70",628.00M,-0.46%
24-Jun-19,"1,377.30","1,375.30","1,382.10","1,375.30",333.89M,0.15%
25-Jun-19,"1,352.00","1,377.30","1,378.20","1,350.70",379.60M,-1.84%
26-Jun-19,"1,366.80","1,352.00","1,376.10","1,352.00",460.62M,1.09%
27-Jun-19,"1,370.60","1,366.80","1,375.10","1,366.80",365.05M,0.28%
28-Jun-19,"1,372.60","1,370.60","1,376.10","1,366.00",640.79M,0.14%
1-Jul-19,"1,392.40","1,372.60","1,403.20","1,372.60",455.50M,1.45%
2-Jul-19,"1,396.40","1,392.40","1,396.50","1,388.20",324.96M,0.29%
3-Jul-19,"1,405.90","1,396.40","1,405.90","1,395.90",243.42M,0.68%
